frame,object_id,class,x,y,width,height,center_x,center_y,area
637,1387,person,998.17,396.23,117.71,237.88,998.17,396.23,28000.04
638,1387,person,992.15,395.61,120.28,240.82,992.15,395.61,28966.97
639,1387,person,985.91,394.3,122.52,245.54,985.91,394.3,30084.61
640,1387,person,980.25,392.63,122.26,246.22,980.25,392.63,30102.7
641,1387,person,975.8,392.02,121.66,246.45,975.8,392.02,29982.23
642,1387,person,971.49,391.82,121.34,247.91,971.49,391.82,30081.71
643,1387,person,968.43,391.59,120.33,247.74,968.43,391.59,29811.86
644,1387,person,965.81,391.43,119.76,248.16,965.81,391.43,29719.27
645,1387,person,964.06,390.16,118.8,247.28,964.06,390.16,29376.1
646,1387,person,963.15,388.95,117.65,245.67,963.15,388.95,28903.31
647,1387,person,961.87,388.22,116.82,244.19,961.87,388.22,28526.77
648,1387,person,960.8,389.03,116.55,243.72,960.8,389.03,28405.25
649,1387,person,961.11,388.89,116.74,244.18,961.11,388.89,28504.44
650,1387,person,961.25,387.9,117.1,244.95,961.25,387.9,28683.85
651,1387,person,960.35,385.56,116.84,242.95,960.35,385.56,28386.72
652,1387,person,957.25,382.27,117.34,240.72,957.25,382.27,28246.79
653,1387,person,954.88,379.31,118.28,238.74,954.88,379.31,28237.1
654,1387,person,952.05,378.95,120.37,239.16,952.05,378.95,28787.51
654,1479,person,1145.12,297.58,60.32,201.12,1145.12,297.58,12131.77
655,1387,person,946.1,380.31,124.47,243.47,946.1,380.31,30305.32
655,1479,person,1145.15,300.26,61.73,206.08,1145.15,300.26,12720.81
656,1387,person,941.72,382.91,128.04,247.25,941.72,382.91,31657.37
656,1479,person,1144.0,301.95,62.04,207.16,1144.0,301.95,12851.4
657,1387,person,936.36,384.9,129.31,247.5,936.36,384.9,32004.12
658,1387,person,930.14,385.76,130.89,248.51,930.14,385.76,32527.24
658,1479,person,1145.02,297.0,60.96,203.97,1145.02,297.0,12434.5
659,1387,person,928.04,386.04,131.84,248.56,928.04,386.04,32769.08
659,1479,person,1144.81,296.44,60.56,203.16,1144.81,296.44,12304.42
660,1387,person,917.54,385.13,130.66,246.27,917.54,385.13,32179.02
661,1387,person,904.24,384.53,129.5,242.8,904.24,384.53,31441.41
662,1387,person,893.18,384.95,130.34,242.64,893.18,384.95,31624.64
663,1387,person,881.08,384.83,131.23,241.79,881.08,384.83,31729.17
664,1387,person,866.59,384.09,128.56,234.71,866.59,384.09,30173.31
665,1387,person,860.21,385.86,129.2,234.72,860.21,385.86,30325.38
665,1479,person,1142.5,291.15,60.95,205.89,1142.5,291.15,12548.17
666,1387,person,855.67,387.06,129.04,235.01,855.67,387.06,30326.38
666,1479,person,1140.74,289.03,59.48,201.01,1140.74,289.03,11955.03
667,1387,person,854.79,387.84,128.73,238.58,854.79,387.84,30713.33
667,1479,person,1139.91,293.45,61.45,208.15,1139.91,293.45,12791.33
668,1387,person,850.56,389.09,129.4,242.44,850.56,389.09,31371.27
668,1479,person,1134.75,303.12,65.82,218.82,1134.75,303.12,14403.25
669,1387,person,845.47,390.15,128.82,242.19,845.47,390.15,31197.31
669,1479,person,1132.97,306.52,68.02,222.6,1132.97,306.52,15140.47
670,1387,person,835.14,388.73,131.02,243.5,835.14,388.73,31903.9
670,1479,person,1136.38,300.42,65.86,217.69,1136.38,300.42,14336.8
671,1387,person,829.76,387.06,132.06,242.64,829.76,387.06,32042.06
671,1479,person,1138.75,294.89,63.28,212.59,1138.75,294.89,13453.51
672,1387,person,825.75,387.27,132.29,240.4,825.75,387.27,31802.21
673,1387,person,822.22,388.99,131.3,237.99,822.22,388.99,31247.69
674,1387,person,815.89,387.87,132.27,241.19,815.89,387.87,31900.72
675,1387,person,810.35,385.35,134.11,245.16,810.35,385.35,32878.09
